HDR,ROLLING SYSTEM DEMAND,
VD,2.02109E+13,27616
VD,2.02109E+13,28374
VD,2.02109E+13,28873
VD,2.02109E+13,29290
VD,2.02109E+13,29614
VD,2.02109E+13,29693
VD,2.02109E+13,29696
VD,2.02109E+13,29769
VD,2.02109E+13,29910
VD,2.02109E+13,30075
VD,2.02109E+13,30304
VD,2.02109E+13,30607
VD,2.02109E+13,31065
VD,2.02109E+13,31310
VD,2.02109E+13,31542
VD,2.02109E+13,31677
VD,2.02109E+13,31737
VD,2.02109E+13,31716
VD,2.02109E+13,31864
VD,2.02109E+13,31948
VD,2.02109E+13,31958
VD,2.02109E+13,31911
VD,2.02109E+13,32029
VD,2.02109E+13,32196
VD,2.02109E+13,32418
VD,2.02109E+13,32432
VD,2.02109E+13,32478
VD,2.02109E+13,32474
VD,2.02109E+13,32405
VD,2.02109E+13,32397
VD,2.02109E+13,32388
VD,2.02109E+13,32398
VD,2.02109E+13,32400
VD,2.02109E+13,32387
VD,2.02109E+13,32459
VD,2.02109E+13,31989
VD,2.02109E+13,32238
VD,2.02109E+13,32422
VD,2.02109E+13,32523
VD,2.02109E+13,32486
VD,2.02109E+13,32538
VD,2.02109E+13,32542
VD,2.02109E+13,32592
VD,2.02109E+13,32593
VD,2.02109E+13,32730
VD,2.02109E+13,32795
VD,2.02109E+13,32835
VD,2.02109E+13,32946
VD,2.02109E+13,32801
VD,2.02109E+13,31699
VD,2.02109E+13,31588
VD,2.02109E+13,31431
VD,2.02109E+13,31347
VD,2.02109E+13,31192
VD,2.02109E+13,31123
VD,2.02109E+13,31067
VD,2.02109E+13,31032
VD,2.02109E+13,31010
VD,2.02109E+13,31027
VD,2.02109E+13,31028
VD,2.02109E+13,31145
VD,2.02109E+13,31380
VD,2.02109E+13,31606
VD,2.02109E+13,31674
VD,2.02109E+13,31752
VD,2.02109E+13,31769
VD,2.02109E+13,31808
VD,2.02109E+13,31897
VD,2.02109E+13,31977
VD,2.02109E+13,32068
VD,2.02109E+13,32118
VD,2.02109E+13,32202
VD,2.02109E+13,32228
VD,2.02109E+13,32022
VD,2.02109E+13,31883
VD,2.02109E+13,31816
VD,2.02109E+13,31702
VD,2.02109E+13,31496
VD,2.02109E+13,31304
VD,2.02109E+13,31219
VD,2.02109E+13,31182
VD,2.02109E+13,31077
VD,2.02109E+13,31019
VD,2.02109E+13,31017
VD,2.02109E+13,31158
VD,2.02109E+13,31126
VD,2.02109E+13,31046
VD,2.02109E+13,30971
VD,2.02109E+13,30870
VD,2.02109E+13,30776
VD,2.02109E+13,30746
VD,2.02109E+13,30752
VD,2.02109E+13,30764
VD,2.02109E+13,30857
VD,2.02109E+13,30978
VD,2.02109E+13,30983
VD,2.02109E+13,30936
VD,2.02109E+13,30925
VD,2.02109E+13,30989
VD,2.02109E+13,30934
VD,2.02109E+13,30918
VD,2.02109E+13,30930
VD,2.02109E+13,30897
VD,2.02109E+13,30958
VD,2.02109E+13,31139
VD,2.02109E+13,31228
VD,2.02109E+13,31198
VD,2.02109E+13,31260
VD,2.02109E+13,31254
VD,2.02109E+13,31285
VD,2.02109E+13,31346
VD,2.02109E+13,31529
VD,2.02109E+13,31609
VD,2.02109E+13,31664
VD,2.02109E+13,31812
VD,2.02109E+13,31960
VD,2.02109E+13,32090
VD,2.02109E+13,32212
VD,2.02109E+13,32258
VD,2.02109E+13,32244
VD,2.02109E+13,32205
VD,2.02109E+13,32064
VD,2.02109E+13,32026
VD,2.02109E+13,32344
VD,2.02109E+13,32575
VD,2.02109E+13,32771
VD,2.02109E+13,32932
VD,2.02109E+13,33010
VD,2.02109E+13,33042
VD,2.02109E+13,33125
VD,2.02109E+13,33025
VD,2.02109E+13,32932
VD,2.02109E+13,32922
VD,2.02109E+13,32833
VD,2.02109E+13,32858
VD,2.02109E+13,32983
VD,2.02109E+13,32923
VD,2.02109E+13,32860
VD,2.02109E+13,32927
VD,2.02109E+13,32905
VD,2.02109E+13,32942
VD,2.02109E+13,32903
VD,2.02109E+13,32788
VD,2.02109E+13,32716
VD,2.02109E+13,32667
VD,2.02109E+13,32670
VD,2.02109E+13,32676
VD,2.02109E+13,32674
VD,2.02109E+13,32682
VD,2.02109E+13,32670
