Season,Site,Month,Day,Year,ND Coach,W/L/T,Score,ND Rank,Opponent,Opp. Coach,Opp. Rank
2010,NEW MEADOWLANDS STADIUM,OCT,23,2010,KELLY,L,17-35,Not Ranked,NAVY,KEN NIUMATALOLO,Not Ranked
2010,HOME,OCT,30,2010,KELLY,L,27-28,Not Ranked,TULSA,TODD GRAHAM,Not Ranked
2010,HOME,NOV,13,2010,KELLY,W,28-3,Not Ranked,UTAH,KYLE WHITTINGHAM,15
2010,YANKEE STADIUM,NOV,20,2010,KELLY,W,27-3,Not Ranked,ARMY,RICH ELLERSON,Not Ranked
2010,AWAY,NOV,27,2010,KELLY,W,20-16,Not Ranked,SOUTHERN CAL,LANE KIFFIN,Not Ranked
2010,SUN BOWL,DEC,31,2010,KELLY,W,33-17,Not Ranked,MIAMI-FLA,JEFF STOUTLAND,Not Ranked
2011,HOME,SEP,3,2011,KELLY,L,20-23,16,SOUTH FLORIDA,SKIP HOLTZ,Not Ranked
2011,AWAY,SEP,10,2011,KELLY,L,31-35,Not Ranked,MICHIGAN,BRADY HOKE,Not Ranked
2011,HOME,SEP,17,2011,KELLY,W,31-13,Not Ranked,MICHIGAN STATE,MARK DANTONIO,15
2011,AWAY,SEP,24,2011,KELLY,W,15-12,Not Ranked,PITT,TODD GRAHAM,Not Ranked
2011,AWAY,OCT,1,2011,KELLY,W,38-10,Not Ranked,PURDUE,DANNY HOPE,Not Ranked
2011,HOME,OCT,8,2011,KELLY,W,59-33,Not Ranked,AIR FORCE,TROY CALHOUN,Not Ranked
2011,HOME,OCT,22,2011,KELLY,L,17-31,Not Ranked,SOUTHERN CAL,LANE KIFFIN,Not Ranked
2011,HOME,OCT,29,2011,KELLY,W,56-14,Not Ranked,NAVY,KEN NIUMATALOLO,Not Ranked
2011,AWAY,NOV,5,2011,KELLY,W,24-17,Not Ranked,WAKE FOREST,JIM GROBE,Not Ranked
2011,FEDEX FIELD,NOV,12,2011,KELLY,W,45-21,Not Ranked,MARYLAND,RANDY EDSALL,Not Ranked
2011,HOME,NOV,19,2011,KELLY,W,16-14,24,BOSTON COLLEGE,FRANK SPAZIANI,Not Ranked
2011,AWAY,NOV,26,2011,KELLY,L,14-28,22,STANFORD,DAVID SHAW,4
2011,CHAMPS BOWL,DEC,29,2011,KELLY,L,14-18,Not Ranked,FLORIDA STATE,JIMBO FISHER,25
2012,DUBLIN,SEP,1,2012,KELLY,W,50-10,Not Ranked,NAVY,KEN NIUMATALOLO,Not Ranked
2012,HOME,SEP,8,2012,KELLY,W,20-17,22,PURDUE,DANNY HOPE,Not Ranked
2012,AWAY,SEP,15,2012,KELLY,W,20-3,20,MICHIGAN STATE,MARK DANTONIO,10
2012,HOME,SEP,22,2012,KELLY,W,13-6,11,MICHIGAN,BRADY HOKE,18
2012,SOLDIER FIELD,OCT,6,2012,KELLY,W,41-3,9,MIAMI-FLA,AL GOLDEN,Not Ranked
2012,HOME,OCT,13,2012,KELLY,W,20-13,7,STANFORD,DAVID SHAW,17
2012,HOME,OCT,20,2012,KELLY,W,17-14,5,BRIGHAM YOUNG,BRONCO MENDENHALL,Not Ranked
2012,AWAY,OCT,27,2012,KELLY,W,30-13,5,OKLAHOMA,BOB STOOPS,8
2012,HOME,NOV,3,2012,KELLY,W,29-26,4,PITT,PAUL CHRYST,Not Ranked
2012,AWAY,NOV,10,2012,KELLY,W,21-6,4,BOSTON COLLEGE,FRANK SPAZIANI,Not Ranked
2012,HOME,NOV,17,2012,KELLY,W,38-0,3,WAKE FOREST,JIM GROBE,Not Ranked
2012,AWAY,NOV,24,2012,KELLY,W,22-13,1,SOUTHERN CAL,LANE KIFFIN,Not Ranked
2012,BCS TITLE GAME-MIAMI,JAN,7,2013,KELLY,L,14-42,1,ALABAMA,NICK SABAN,2
2013,HOME,AUG,31,2013,KELLY,W,28-6,14,TEMPLE,MATT RHULE,Not Ranked
2013,AWAY,SEP,7,2013,KELLY,L,30-41,14,MICHIGAN,BRADY HOKE,17
2013,AWAY,SEP,14,2013,KELLY,W,31-24,21,PURDUE,DARRELL HAZELL,Not Ranked
2013,HOME,SEP,21,2013,KELLY,W,17-13,22,MICHIGAN STATE,MARK DANTONIO,Not Ranked
2013,HOME,SEP,28,2013,KELLY,L,21-35,22,OKLAHOMA,BOB STOOPS,14
2013,ARLINGTON,OCT,5,2013,KELLY,W,37-34,Not Ranked,ARIZONA STATE,TODD GRAHAM,22
2013,HOME,OCT,19,2013,KELLY,W,14-10,Not Ranked,SOUTHERN CAL,ED ORGERON,Not Ranked
2013,AWAY,OCT,26,2013,KELLY,W,45-10,Not Ranked,AIR FORCE,TROY CALHOUN,Not Ranked
2013,HOME,NOV,2,2013,KELLY,W,38-34,Not Ranked,NAVY,KEN NIUMATALOLO,Not Ranked
2013,AWAY,NOV,9,2013,KELLY,L,21-28,24,PITT,PAUL CHRYST,Not Ranked
2013,HOME,NOV,23,2013,KELLY,W,23-13,Not Ranked,BRIGHAM YOUNG,BRONCO MENDENHALL,Not Ranked
2013,AWAY,NOV,30,2013,KELLY,L,20-27,25,STANFORD,DAVID SHAW,8
2013,YANKEE STADIUM,DEC,28,2013,KELLY,W,29-16,25,RUTGERS,KYLE FLOOD,Not Ranked
2014,HOME,AUG,30,2014,KELLY,W,48-17,17,RICE,DAVID BAILIFF,Not Ranked
2014,HOME,SEP,6,2014,KELLY,W,31-0,16,MICHIGAN,BRADY HOKE,Not Ranked
2014,LUCAS OIL STADIUM,SEP,13,2014,KELLY,W,30-14,11,PURDUE,DARRELL HAZELL,Not Ranked
2014,METLIFE STADIUM,SEP,27,2014,KELLY,W,31-15,8,SYRACUSE,SCOTT SHAFER,Not Ranked
2014,HOME,OCT,4,2014,KELLY,W,17-14,9,STANFORD,DAVID SHAW,14
2014,HOME,OCT,11,2014,KELLY,W,50-43,6,NORTH CAROLINA,LARRY FEDORA,Not Ranked
2014,AWAY,OCT,18,2014,KELLY,L,27-31,5,FLORIDA STATE,JIMBO FISHER,2
2014,FEDEX FIELD,NOV,1,2014,KELLY,W,49-39,6,NAVY,KEN NIUMATALOLO,Not Ranked
2014,AWAY,NOV,8,2014,KELLY,L,31-55,8,ARIZONA STATE,TODD GRAHAM,11
2014,HOME,NOV,15,2014,KELLY,L,40-43,15,NORTHWESTERN,PAT FITZGERALD,Not Ranked
2014,HOME,NOV,22,2014,KELLY,L,28-31,Not Ranked,LOUISVILLE,BOBBY PETRINO,Not Ranked
2014,AWAY,NOV,29,2014,KELLY,L,14-49,Not Ranked,SOUTHERN CAL,STEVE SARKISIAN,Not Ranked
2014,MUSIC CITY BOWL,DEC,30,2014,KELLY,W,31-28,Not Ranked,LOUISIANA STATE,LES MILES,22
2015,HOME,SEP,5,2015,KELLY,W,38-3,11,TEXAS,CHARLIE STRONG,Not Ranked
2015,AWAY,SEP,12,2015,KELLY,W,34-27,9,VIRGINIA,MIKE LONDON,Not Ranked
2015,HOME,SEP,19,2015,KELLY,W,30-22,8,GEORGIA TECH,PAUL JOHNSON,14
2015,HOME,SEP,26,2015,KELLY,W,62-27,6,MASSACHUSETTS,MARK WHIPPLE,Not Ranked
2015,AWAY,OCT,3,2015,KELLY,L,22-24,6,CLEMSON,DABO SWINNEY,12
2015,HOME,OCT,10,2015,KELLY,W,41-24,15,NAVY,KEN NIUMATALOLO,Not Ranked
2015,HOME,OCT,17,2015,KELLY,W,41-31,14,SOUTHERN CAL,CLAY HELTON,Not Ranked
2015,LINCOLN FINANCIAL FIELD,OCT,31,2015,KELLY,W,24-20,9,TEMPLE,MATT RHULE,21
2015,AWAY,NOV,7,2015,KELLY,W,42-30,8,PITT,PAT NARDUZZI,Not Ranked
2015,HOME,NOV,14,2015,KELLY,W,28-7,6,WAKE FOREST,DAVE CLAWSON,Not Ranked
2015,FENWAY PARK,NOV,21,2015,KELLY,W,19-16,5,BOSTON COLLEGE,STEVE ADDAZIO,Not Ranked
2015,AWAY,NOV,28,2015,KELLY,L,36-38,4,STANFORD,DAVID SHAW,13
2015,FIESTA BOWL,JAN,1,2016,KELLY,L,28-44,8,OHIO STATE,URBAN MEYER,7
2016,AWAY,SEP,4,2016,KELLY,L,47-50,10,TEXAS,CHARLIE STRONG,Not Ranked
2016,HOME,SEP,10,2016,KELLY,W,39-10,18,NEVADA,BRIAN POLIAN,Not Ranked
2016,HOME,SEP,17,2016,KELLY,L,28-36,18,MICHIGAN STATE,MARK DANTONIO,12
2016,HOME,SEP,24,2016,KELLY,L,35-38,Not Ranked,DUKE,DAVID CUTCLIFFE,Not Ranked
2016,METLIFE STADIUM,OCT,1,2016,KELLY,W,50-33,Not Ranked,SYRACUSE,DINO BABERS,Not Ranked
2016,AWAY,OCT,8,2016,KELLY,L,3-10,Not Ranked,NORTH CAROLINA STATE,DAVE DOEREN,Not Ranked
2016,HOME,OCT,15,2016,KELLY,L,10-17,Not Ranked,STANFORD,DAVID SHAW,Not Ranked
2016,HOME,OCT,29,2016,KELLY,W,30-27,Not Ranked,MIAMI-FLA,MARK RICHT,Not Ranked
2016,JACKSONVILLE,NOV,5,2016,KELLY,L,27-28,Not Ranked,NAVY,KEN NIUMATALOLO,Not Ranked
2016,ALAMODOME,NOV,12,2016,KELLY,W,44-6,Not Ranked,ARMY,JEFF MONKEN,Not Ranked
2016,HOME,NOV,19,2016,KELLY,L,31-34,Not Ranked,VIRGINIA TECH,JUSTIN FUENTE,Not Ranked
2016,AWAY,NOV,26,2016,KELLY,L,27-45,Not Ranked,SOUTHERN CAL,CLAY HELTON,12
2017,HOME,SEP,2,2017,KELLY,W,49-16,Not Ranked,TEMPLE,GEOFF COLLINS,Not Ranked
2017,HOME,SEP,9,2017,KELLY,L,19-20,24,GEORGIA,KIRBY SMART,15
2017,HOME,SEP,9,2017,KELLY,L,19-20,24,GEORGIA,KIRBY SMART,15
